Anno;Codice Regione;Descrizione Regione;Codice ASL territoriale;Denominazione ASL territoriale;Codice Azienda;Codice struttura;Denominazione struttura;Partita IVA;Indirizzo;CAP;Comune;Sigla provincia;Codice Comune;Telefono;Sito web;E-mail;Codice Tipo struttura;Descrizione tipo struttura;Giorno apertura;Mese apertura;Anno apertura;Subcodice struttura interna;Denominazione struttura interna;Partita IVA struttura interna;Indirizzo struttura interna;CAP struttura interna;Comune struttura interna;Sigla provincia struttura interna;Codice Comune struttura interna;Telefono struttura interna;Sito web struttura interna;E-mail struttura interna;Giorno apertura struttura interna;Mese apertura struttura interna;Anno apertura struttura interna
2023;010;PIEMONTE;203;TO3;203;010646;CASA DI CURA VILLA IRIS SRL;03880520014;VIA PAVESE CESARE 12;10044;PIANEZZA ;TO;001189;011 9663700 ;;VILLAIRIS@CASADICURAVILLAIRIS.IT;5.1;Casa di cura privata accreditata;01;01;1994;;;;;;;;;;;;;;
2023;010;PIEMONTE;203;TO3;203;010651;CASA DI CURA MADONNA DEI BOSCHI;10758590011;VIA RAGAZZI DEL ' 99 1;10090;BUTTIGLIERA ALTA;TO;001045;011 9329811 ;WWW.ORPEA.IT;AMMINISTRAZIONE.MDB@ORPEA.IT;5.1;Casa di cura privata accreditata;27;03;2000;;;;;;;;;;;;;;
2023;010;PIEMONTE;203;TO3;203;010663;MEDICAL SERVICE S.A.S ;08967920011;VIA MARTIRI DEL XXI 110;10064;PINEROLO ;TO;001191;012 1323680 ;WWW.MEDICALSERVICEPINEROLO.IT;MEDICAL.SERVICESAS@LIBERO.IT;5.2;Casa di cura privata non accreditata;26;06;2007;;;;;;;;;;;;;;
2023;010;PIEMONTE;204;TO4;204;010017;OSPEDALE CIVICO CHIVASSO ;09736160012;CORSO FERRARIS GALILEO 3 ;10034;CHIVASSO ;TO;001082;011 9176666 ;WWWW.ASLTO4.PIEMONTE.IT;DIRSANOSP@ASLTO4.PIEMONTE.IT;1;Ospedale a gestione diretta;01;01;1981;;;;;;;;;;;;;;
2023;010;PIEMONTE;204;TO4;204;010019;PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE';09736160012;VIA BATTITORE 7/9 ;10073;CIRIE' ;TO;001086;011 92171 ;WWW.ASLTO4.PIEMONTE.IT;;1;Ospedale a gestione diretta;01;01;1988;01;PRESIDIO OSPED. RIUNITO SEDE DI CIRIE';09736160012;VIA BATTITORE 7/9 ;10073;CIRIE' ;TO;001086;011 92171 ;WWW.ASLTO4.PIEMONTE.IT;;01;01;1988
2023;010;PIEMONTE;204;TO4;204;010019;PRESIDI OSPED. RIUNITI A.S.L. 6 CIRIE';09736160012;VIA BATTITORE 7/9 ;10073;CIRIE' ;TO;001086;011 92171 ;WWW.ASLTO4.PIEMONTE.IT;;1;Ospedale a gestione diretta;01;01;1988;03;PRESIDIO OSPED. RIUNITO SEDE DI LANZO ;09736160012;VIA DELLA ROCCA MARCHESE 30;10074;LANZO TORINESE;TO;001128;012 3300611 ;WWW.ASLTO4.PIEMONTE.IT;;01;06;2003
2023;010;PIEMONTE;204;TO4;204;010023;OSPEDALI RIUNITI DEL CANAVESE;09736160012;PIAZZA DELLA CREDENZA 2;10015;IVREA;TO;001125;012 54141 ;WWW.ASL.IVREA.TO.IT;DIRIGEN@ASLTO4.PIEMONTE.IT;1;Ospedale a gestione diretta;01;01;1984;01;OSPEDALE CIVILE DI IVREA ;09736160012;PIAZZA DELLA CREDENZA 2;10015;IVREA;TO;001125;012 54141 ;WWW.ASLTO4.PIEMONTE.IT;DIRIGEN@ASLTO4.PIEMONTE.IT;01;01;1984
2023;010;PIEMONTE;204;TO4;204;010023;OSPEDALI RIUNITI DEL CANAVESE;09736160012;PIAZZA DELLA CREDENZA 2;10015;IVREA;TO;001125;012 54141 ;WWW.ASL.IVREA.TO.IT;DIRIGEN@ASLTO4.PIEMONTE.IT;1;Ospedale a gestione diretta;01;01;1984;02;OSPEDALE CIVILE DI CUORGNE';09736160012;VIA MUSSATTI ETTORE 5 ;10082;CUORGNE' ;TO;001098;012 4654322 ;WWW.ASLTO4.PIEMONTE.IT;DIREZIONESANITARIA.CUORGNE@ASLTO4.PIEMONTE.IT;01;01;1988
2023;010;PIEMONTE;204;TO4;204;010023;OSPEDALI RIUNITI DEL CANAVESE;09736160012;PIAZZA DELLA CREDENZA 2;10015;IVREA;TO;001125;012 54141 ;WWW.ASL.IVREA.TO.IT;DIRIGEN@ASLTO4.PIEMONTE.IT;1;Ospedale a gestione diretta;01;01;1984;04;SAAPA S.P.A.;09736160012;VIA SANTA CRISTINA 3;10036;SETTIMO TORINESE;TO;001265;011 44444444;;SEGRETERIA.SAAPA@OSPEDALESETTIMO.IT;01;01;2010
2023;010;PIEMONTE;204;TO4;204;010616;CASA DI CURA CLINICA EPOREDIESE;11514130159;VIA DELLA CASTIGLIA 27;10015;IVREA;TO;001125;012 5645611 ;WWW.CLINICAEPOREDIESE.IT;INFO@CLINICAEPOREDIESE.IT;5.1;Casa di cura privata accreditata;01;01;1988;;;;;;;;;;;;;;
2023;010;PIEMONTE;204;TO4;204;010617;CASA DI CURA VILLE TURINA AMIONE ;01112840010;VIA CARLO ANGELA 1;10077;SAN MAURIZIO CANAVESE ;TO;001248;011 9278095 ;;AMMINISTRAZIONE.VILLETURINA@ORPEA.IT;5.1;Casa di cura privata accreditata;01;01;1988;;;;;;;;;;;;;;
2023;010;PIEMONTE;204;TO4;204;010622;CASA DI CURA VILLA IDA;04290680018;VIA CHALLANT AYMONE 23;10074;LANZO TORINESE;TO;001128;012 3320033 ;;INFO.VILLAIDA@GRUPPOSANTACROCE.IT;5.1;Casa di cura privata accreditata;01;08;1947;;;;;;;;;;;;;;
2023;010;PIEMONTE;204;TO4;204;010644;CASA DI CURA VILLA GRAZIA;02137900011;STRADA POLIGONO 8 ;10070;SAN CARLO CANAVESE;TO;001237;011 9208565 ;;INFO@VILLAGRAZIA.ORG;5.1;Casa di cura privata accreditata;01;01;1988;;;;;;;;;;;;;;
2023;010;PIEMONTE;204;TO4;204;010667;STUDIO MEDICO AURORA;08235030015;VIA CIRCONVALLAZIONE 4/I ;10010;BANCHETTE;TO;001020;012 5612400 ;WWW.STUDIOMEDICOAURORA.COM;STUDIOAURORA2013@LIBERO.IT;5.2;Casa di cura privata non accreditata;01;01;2015;;;;;;;;;;;;;;
2023;010;PIEMONTE;204;TO4;204;010891;BEATA VERGINE CONSOLATA;01647730157;VIA FATEBENEFRATELLI 70;10077;SAN MAURIZIO CANAVESE ;TO;001248;011 9263811 ;WWW.FATEBENEFRATELLI.EU;SANMAURIZIO@FATEBENEFRATELLI.EU;8;Istituto qualificato presidio della U.S.L.;01;01;1992;;;;;;;;;;;;;;
2023;010;PIEMONTE;205;TO5;922;010922;FONDAZIONE DEL PIEMONTE PER L'ONCOLOGIA ;10202940010;STRADA PROVINCIALE 142 DI PIOBESI - NONE;10060;CANDIOLO ;TO;001051;011 9933111 ;;;3.3;IRCCS fondazione;06;04;2013;;;;;;;;;;;;;;
2023;010;PIEMONTE;205;TO5;205;010004;OSPEDALI RIUNITI A.S.L. TO 5;06827170017;VIA DE MARIA GIOVANNI 3;10023;CHIERI ;TO;001078;011 94291 ;;;1;Ospedale a gestione diretta;01;01;2000;01;OSPEDALE MAGGIORE ;06827170017;VIA DE MARIA 1;10023;CHIERI ;TO;001078;011 94291 ;;;01;01;2000
2023;010;PIEMONTE;205;TO5;205;010004;OSPEDALI RIUNITI A.S.L. TO 5;06827170017;VIA DE MARIA GIOVANNI 3;10023;CHIERI ;TO;001078;011 94291 ;;;1;Ospedale a gestione diretta;01;01;2000;02;OSPEDALE SANTA CROCE;06827170017;PIAZZA AMEDEO FERDINANDO 3 ;10024;MONCALIERI;TO;001156;011 69301 ;;;01;01;2000
2023;010;PIEMONTE;205;TO5;205;010004;OSPEDALI RIUNITI A.S.L. TO 5;06827170017;VIA DE MARIA GIOVANNI 3;10023;CHIERI ;TO;001078;011 94291 ;;;1;Ospedale a gestione diretta;01;01;2000;03;OSPEDALE SAN LORENZO;06827170017;VIA OSPEDALE 13;10022;CARMAGNOLA;TO;001059;011 97191 ;;;01;01;2000
2023;010;PIEMONTE;205;TO5;205;010004;OSPEDALI RIUNITI A.S.L. TO 5;06827170017;VIA DE MARIA GIOVANNI 3;10023;CHIERI ;TO;001078;011 94291 ;;;1;Ospedale a gestione diretta;01;01;2000;04;DAY SURGERY DEL DISTRETTO DI NICHELINO;06827170017;VIA DEBOUCHE' 8;10042;NICHELINO;TO;001164;011 6802011 ;;;01;01;2008
2023;010;PIEMONTE;205;TO5;205;010618;CASA DI CURA E RIPOSO S. LUCA S.P.A.;01136930011;STRADA DELLA VETTA 3;10020;PECETTO TORINESE;TO;001183;011 8602111 ;;;5.1;Casa di cura privata accreditata;01;04;1966;;;;;;;;;;;;;;
2023;010;PIEMONTE;205;TO5;205;010620;CASA DI CURA VILLA DI SALUTE SPA ;01112840010;VIALE DELLA RESISTENZA 24;10028;TROFARELLO;TO;001280;011 6497007 ;;;5.1;Casa di cura privata accreditata;01;01;1988;;;;;;;;;;;;;;
2023;010;PIEMONTE;205;TO5;205;010648;ADRIANA S.R.L.;03609890011;VIA ROBIOLA 6 ;10020;ARIGNANO ;TO;001012;011 9462416 ;;;5.1;Casa di cura privata accreditata;01;12;1994;;;;;;;;;;;;;;
2023;010;PIEMONTE;205;TO5;205;010661;POLICLINICO SAN LUCA S.R.L.;10214300013;VIA RACCONIGI 8;10022;CARMAGNOLA;TO;001059;011 9770742 ;;INFO@LISA-DAYSURGERY.COM;5.1;Casa di cura privata accreditata;02;08;2006;;;;;;;;;;;;;;
2023;010;PIEMONTE;206;VC;206;010009;OSPEDALE UNICO DEL VERCELLESE;01811110020;CORSO ABBIATE MARIO 21;13100;VERCELLI ;VC;002158;016 1593111 ;WWW.ASLVC.PIEMONTE.IT;DIRSAN.VERCELLI@ASLVC.PIEMONTE.IT;1;Ospedale a gestione diretta;01;01;2000;01;OSPEDALE SANT'ANDREA;01811110020;CORSO ABBIATE MARIO 21;13100;VERCELLI ;VC;002158;016 1593111 ;WWW.ASLVC.PIEMONTE.IT;DIRSAN.VERCELLI@ASLVC.PIEMONTE.IT;01;01;2000
2023;010;PIEMONTE;206;VC;206;010009;OSPEDALE UNICO DEL VERCELLESE;01811110020;CORSO ABBIATE MARIO 21;13100;VERCELLI ;VC;002158;016 1593111 ;WWW.ASLVC.PIEMONTE.IT;DIRSAN.VERCELLI@ASLVC.PIEMONTE.IT;1;Ospedale a gestione diretta;01;01;2000;02;OSPEDALE SS.PIETRO E PAOLO ;01811110020;VIA ILORINI MO A. F. 20;13011;BORGOSESIA;VC;002016;016 3426111 ;WWW.ASLVC.PIEMONTE.IT;DIRSAN.BORGOSESIA@ASLVC.PIEMONTE.IT;01;01;2000
2023;010;PIEMONTE;206;VC;206;010626;POLICLINICO DI MONZA SPA - CASA DI CURA ;11514130159;VIALE DELLA AERONAUTICA 14 ;13100;VERCELLI ;VC;002158;016 12221 ;WWW.CLINICASRITA.IT;INFO@CLINICASRITA.IT;5.1;Casa di cura privata accreditata;01;01;1988;;;;;;;;;;;;;;
2023;010;PIEMONTE;206;VC;206;010657;CASA DI CURA CENTRO R.R.F. MONS. LUIGI N;02129921009;LOCALITA' TROMPONE 1;13040;MONCRIVELLO ;VC;002079;016 1426161 ;WWW.TROMPONE.IT;DIREZIONE@TROMPONE.IT;5.1;Casa di cura privata accreditata;01;01;2005;;;;;;;;;;;;;;
2023;010;PIEMONTE;207;BI;207;010032;OSPEDALE DEGLI INFERMI;01810260024;VIA DEI PONDERANESI 2 ;13875;PONDERANO;BI;096047;015 15151 ;WWW.ASLBI.PIEMONTE.IT;SEGRETERIA.DIREZIONEMEDICAOSPEDALE@ASLBI.PIEMONTE.;1;Ospedale a gestione diretta;28;11;2014;;;;;;;;;;;;;;
2023;010;PIEMONTE;207;BI;207;010627;CASA DI CURA SAN GIORGIO SRL;00915420012;VIA MARCHESI DI GATTINARA 16;13886;VIVERONE ;BI;096080;016 1987089 ;WWW.CASADICURASANGIORGIO.IT;INFO@CASADICURASANGIORGIO.IT;5.1;Casa di cura privata accreditata;01;10;1961;;;;;;;;;;;;;;
2023;010;PIEMONTE;207;BI;207;010656;POLICLINICO DI MONZA S.P.A. PRESIDIO CLI;11514130159;VIA RAMELLA GERMANIN ERIBERTO 26 ;13900;BIELLA ;BI;096004;015 35931 ;;;5.1;Casa di cura privata accreditata;03;08;2004;;;;;;;;;;;;;;
2023;010;PIEMONTE;208;NO;905;010905;AZIENDA OSPED. NOVARA E GALLIATE ;01521330033;CORSO MAZZINI GIUSEPPE 18;28100;NOVARA ;NO;003106;032 13731 ;WWW.MAGGIOREOSP.NOVARA.IT;DIREZIONE.GENERALE@MAGGIOREOSP.NOVARA.IT;2.2;Azienda Ospedaliera integrata con l'Universit‡;01;01;1988;01;OSP. MAGGIORE DELLA CARITA';01521330033;CORSO MAZZINI GIUSEPPE 18;28100;NOVARA ;NO;003106;032 13731 ;WWW.MAGGIOREOSP.NOVARA.IT;DIREZIONE.GENERALE@MAGGIOREOSP.NOVARA.IT;01;01;1988
2023;010;PIEMONTE;208;NO;905;010905;AZIENDA OSPED. NOVARA E GALLIATE ;01521330033;CORSO MAZZINI GIUSEPPE 18;28100;NOVARA ;NO;003106;032 13731 ;WWW.MAGGIOREOSP.NOVARA.IT;DIREZIONE.GENERALE@MAGGIOREOSP.NOVARA.IT;2.2;Azienda Ospedaliera integrata con l'Universit‡;01;01;1988;02;OSPEDALE SAN ROCCO GALLIATE;01521330033;VIA COTTOLENGO 2;28066;GALLIATE ;NO;003068;032 1805111 ;WWW.MAGGIOREOPS.NOVARA.IT;DIREZIONE.GENERALE@MAGGIOREOSP.NOVARA.IT;01;01;2007
2023;010;PIEMONTE;208;NO;921;010921;FONDAZIONE SALVATORE MAUGERI;02631650187;VIA REVISLATE 13;28013;GATTICO-VERUNO;NO;003166;032 2884711 ;;DIRSAN.VERUNO@FSM.IT;3.2;IRCCS privato;01;01;1988;;;;;;;;;;;;;;
2023;010;PIEMONTE;208;NO;208;010006;ISTITUTO SS. TRINITA - BORGOMANERO ;01522670031;VIALE ZOPPIS 10;28021;BORGOMANERO ;NO;003024;032 28481 ;WWW.ASL.NOVARA.IT;DIRMEDICA.BOR@ASL.NOVARA.IT;1;Ospedale a gestione diretta;01;01;2000;;;;;;;;;;;;;;
2023;010;PIEMONTE;208;NO;208;010628;POLICLINICO DI MONZA SPA - PRESIDIO CLIN;11514130159;VIA BOTTINI ENRICO 3;28100;NOVARA ;NO;003106;032 13831 ;WWW.CLINICASANGAUDENZIO.COM;INFO@CLINICASANGAUDENZIO.COM;5.1;Casa di cura privata accreditata;01;01;1984;;;;;;;;;;;;;;
2023;010;PIEMONTE;208;NO;208;010630;CASA DI CURA S.CARLO DI ARONA;02031360155;VIA OLEGGIO CASTELLO 8;28041;ARONA;NO;003008;032 2243722 ;WWW.SANCARLOARONA.IT;INFO@SANCARLOARONA.IT;5.1;Casa di cura privata accreditata;01;12;1958;;;;;;;;;;;;;;
2023;010;PIEMONTE;208;NO;208;010649;HABILITA S.P.A. - PRESIDIO I CEDRI ;00765430160;LARGO DON GUANELLA 1;28073;FARA NOVARESE ;NO;003065;032 1818111 ;WWW.HABILITA.IT;INFO@ICEDRI.NET;5.1;Casa di cura privata accreditata;01;06;1993;;;;;;;;;;;;;;
2023;010;PIEMONTE;208;NO;208;010660;CENTRO MEDICO POLISPECIALISTICO AMBULATO;01836990034;VIA PIAVE 2 ;28021;BORGOMANERO ;NO;003024;032 2846754 ;WWW.CLINICASANLUIGI.IT;INFOSANLUIGI@GMAIL.COM;5.2;Casa di cura privata non accreditata;01;01;2007;;;;;;;;;;;;;;
2023;010;PIEMONTE;208;NO;208;010665;CASA DI CURA VILLA CRISTINA;00486210016;CASE SPARSE POGGIO RADIOSO A STRADA DORS;28010;NEBBIUNO ;NO;003103;032 2280761 ;WWW.ORPEA.IT/CLINEA/SERVIZI-RIABILITAZIONE-PSICHIATRI;VILLACRISTINA.NEBBIUNO@ORPEA.IT;5.1;Casa di cura privata accreditata;01;01;2013;;;;;;;;;;;;;;
2023;010;PIEMONTE;209;VCO;920;010920;ISTITUTO AUXOLOGICO ITALIANO;02703120150;VIA CADORNA 90;28824;OGGEBBIO ;VB;103049;032 3514111 ;;;3.2;IRCCS privato;01;05;1972;;;;;;;;;;;;;;
2023;010;PIEMONTE;209;VCO;209;010005;OSPEDALE UNICO PLURISEDE ;00634880033;VIA MAZZINI GIUSEPPE 117 ;28887;OMEGNA ;VB;103050;032 3541320 ;WWW.ASLVCO.IT;PROTOCOLLO@PEC.ASLVCO.IT;1;Ospedale a gestione diretta;01;01;2000;01;OSPEDALE SAN BIAGIO ;00634880033;PIAZZA VITTIME DEI LAGER NAZIFASCISTI 1 ;28845;DOMODOSSOLA ;VB;103028;032 44911 ;WWW.ASLVCO.IT;DSANITARIA.DOMO@ASLVCO.IT;01;01;2000
2023;010;PIEMONTE;209;VCO;209;010005;OSPEDALE UNICO PLURISEDE ;00634880033;VIA MAZZINI GIUSEPPE 117 ;28887;OMEGNA ;VB;103050;032 3541320 ;WWW.ASLVCO.IT;PROTOCOLLO@PEC.ASLVCO.IT;1;Ospedale a gestione diretta;01;01;2000;02;STABILIMENTO OSPEDALIERO CASTELLI;00634880033;VIA FIUME 18;28925;VERBANIA ;VB;103072;032 35411 ;WWW.ASLVCO.IT;DSANITARIA.VB@ASLVCO.IT;01;01;2000
2023;010;PIEMONTE;209;VCO;209;010629;CASA DI CURA L'EREMO DI MIAZZINA ;03831150366;VIA PER MIAZZINA 16 ;28814;CAMBIASCA;VB;103015;032 3553700 ;;INFO@EREMODIMIAZZINA.COM;5.1;Casa di cura privata accreditata;01;01;1962;;;;;;;;;;;;;;
2023;010;PIEMONTE;209;VCO;209;010896;CENTRO ORTOPEDICO DI QUADRANTE - COQ SPA;01875380030;LUNGO LAGO BUOZZI 25;28887;OMEGNA ;VB;103050;032 36601202;WWW.OSPEDALECOQ.COM;DIRSAN@OSPEDALECOQ.IT;8;Istituto qualificato presidio della U.S.L.;01;01;2023;;;;;;;;;;;;;;
2023;010;PIEMONTE;210;CN1;906;010906;AZ. OSPEDAL. S. CROCE E CARLE;01127900049;VIA COPPINO MICHELE 26;12100;CUNEO;CN;004078;017 1643200 ;WWW.OSPEDALE.CUNEO.IT;ASO.CUNEO@CERT.LEGALMAIL.IT;0;Azienda Ospedaliera;01;09;1960;;;;;;;;;;;;;;
2023;010;PIEMONTE;210;CN1;210;010124;PRESIDIO OSPEDALIERO AREA SUD - CN1;01128930045;STRADA DI SAN ROCCHETTO 99 ;12084;MONDOVI' ;CN;004130;017 4550111 ;WWW.ASLCN1.IT;DIRSAN@ASL16.SANITACN.IT;1;Ospedale a gestione diretta;01;01;1988;01;OSPEDALE DI MONDOVI';01128930045;STRADA DI SAN ROCCHETTO 99 ;12084;MONDOVI' ;CN;004130;017 4677111 ;;;01;01;1988
2023;010;PIEMONTE;210;CN1;210;010124;PRESIDIO OSPEDALIERO AREA SUD - CN1;01128930045;STRADA DI SAN ROCCHETTO 99 ;12084;MONDOVI' ;CN;004130;017 4550111 ;WWW.ASLCN1.IT;DIRSAN@ASL16.SANITACN.IT;1;Ospedale a gestione diretta;01;01;1988;02;OSPEDALE DI CEVA;01128930045;REGIONE SAN BERNARDINO 4 ;12073;CEVA ;CN;004066;017 47231 ;;;01;01;1993
2023;010;PIEMONTE;210;CN1;210;010126;PRESIDIO OSPEDALIERO AREA NORD - CN1;01128930045;VIA OSPEDALI 5;12038;SAVIGLIANO;CN;004215;017 2719111 ;WWW.ASLCN1.IT;;1;Ospedale a gestione diretta;01;01;1988;01;OSPEDALE DI SAVIGLIANO;01128930045;VIA OSPEDALI 5;12038;SAVIGLIANO;CN;004215;017 2719111 ;;;01;01;1988
2023;010;PIEMONTE;210;CN1;210;010126;PRESIDIO OSPEDALIERO AREA NORD - CN1;01128930045;VIA OSPEDALI 5;12038;SAVIGLIANO;CN;004215;017 2719111 ;WWW.ASLCN1.IT;;1;Ospedale a gestione diretta;01;01;1988;02;OSPEDALE DI SALUZZO ;01128930045;VIA SPIELBERG 58;12037;SALUZZO;CN;004203;017 5215111 ;;;01;01;2000
2023;010;PIEMONTE;210;CN1;210;010126;PRESIDIO OSPEDALIERO AREA NORD - CN1;01128930045;VIA OSPEDALI 5;12038;SAVIGLIANO;CN;004215;017 2719111 ;WWW.ASLCN1.IT;;1;Ospedale a gestione diretta;01;01;1988;04;OSPEDALE DI FOSSANO ;01128930045;VIA OSPEDALE MAGGIORE 4;12045;FOSSANO;CN;004089;017 2699281 ;;;01;01;2019
2023;010;PIEMONTE;210;CN1;210;010633;ISTITUTO CLIMATICO DI ROBILANTE S.R.L.;04005870045;STRADA VALLONE FANTINO 2 ;12017;ROBILANTE;CN;004185;017 178223;;AMMINISTRAZIONE@ISTITUTOCLIMATICO.IT;5.1;Casa di cura privata accreditata;01;11;1988;;;;;;;;;;;;;;
2023;010;PIEMONTE;210;CN1;210;010634;CASA DI CURA MONTESERRAT S.R.L ;00494430044;VIA VALGRANA 6/8;12023;CARAGLIO ;CN;004040;017 11988090;;DIREZIONECARAGLIO@MONTESERRAT.IT;5.1;Casa di cura privata accreditata;01;01;1988;;;;;;;;;;;;;;
2023;010;PIEMONTE;210;CN1;210;010647;FONDAZIONE ORIZZONTE SPERANZA - ONLUS CA;96058710045;VIA MELLANA 7 ;12012;BOVES;CN;004028;017 1381511 ;;INFO@ORIZZONTESPERANZA.IT;5.1;Casa di cura privata accreditata;01;07;1995;;;;;;;;;;;;;;
2023;010;PIEMONTE;210;CN1;210;010659;S.R.L. TERAPEUTICENTER - ISTITUTO MEDICO;02693050045;STRADA CARMAGNOLA 68;12030;CARAMAGNA PIEMONTE;CN;004041;017 289872;;INFO@TERAPEUTICENTER.COM;5.2;Casa di cura privata non accreditata;01;04;2007;;;;;;;;;;;;;;
2023;010;PIEMONTE;210;CN1;210;010670;BIOMED SRL;03015190048;VIA MACALLE' 5;12045;FOSSANO;CN;004089;017 2636057 ;STUDIOBIOMED.IT;STUDIOBIOMED@STUDIOBIOMED.IT;5.2;Casa di cura privata non accreditata;16;07;2021;;;;;;;;;;;;;;
